,id_ocorrencia,conduta,natureza_lesao,tipo_crime,uf,municipio,endereco,logradouro_sede,geolocalizacao,latitude,longitude
208,360,Abordagem policial – Perseguição,Crimes de lesão corporal (CP),Lesão corporal indeterminada,SÃO PAULO,Jarinu,,,0101000020E6100000E88C83A6805B47C0017B96314F1837C0,-23.0949584,-46.7148636
209,360,Abordagem policial – Perseguição,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,Jarinu,,,0101000020E6100000E88C83A6805B47C0017B96314F1837C0,-23.0949584,-46.7148636
210,362,Abordagem policial,Crimes de lesão corporal (CP),Lesão corporal indeterminada,SÃO PAULO,Itu,,,0101000020E61000009D84D21742A647C017FABBD28D4337C0,-23.2638828,-47.298892
211,364,Operação policial - Repressão a manifestação,Crimes de lesão corporal (CP),Lesão corporal indeterminada,SÃO PAULO,Santo André,Centro Universitário Fundação Santo André,Centro Universitário Fundação Santo André,0101000020E6100000BA2B77C0ED4647C0A67455455DA937C0,-23.661579449999998,-46.55413060969245
212,364,Operação policial - Repressão a manifestação,Crimes de abuso de autoridade (Lei 4.898/1965),Impedir ou cercear o direito de reunião,SÃO PAULO,Santo André,Centro Universitário Fundação Santo André,Centro Universitário Fundação Santo André,0101000020E6100000BA2B77C0ED4647C0A67455455DA937C0,-23.661579449999998,-46.55413060969245
213,364,Operação policial - Repressão a manifestação,Crimes de abuso de autoridade (Lei 4.898/1965),Ameaçar a integridade física do indivíduo,SÃO PAULO,Santo André,Centro Universitário Fundação Santo André,Centro Universitário Fundação Santo André,0101000020E6100000BA2B77C0ED4647C0A67455455DA937C0,-23.661579449999998,-46.55413060969245
214,365,Abordagem policial,Crimes de lesão corporal (CP),Lesão corporal indeterminada,SÃO PAULO,Jundiaí,Rodovia Dom Pedro I,Rodovia Dom Pedro I,0101000020E61000009CCF6F4EDB6D47C094DE927769F436C0,-22.9547343,-46.8582552
215,365,Abordagem policial,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,Jundiaí,Rodovia Dom Pedro I,Rodovia Dom Pedro I,0101000020E61000009CCF6F4EDB6D47C094DE927769F436C0,-22.9547343,-46.8582552
216,366,Abordagem policial – Perseguição,Crimes de lesão corporal (CP),Lesão corporal gravíssima,SÃO PAULO,Araraquara,Avenida Cristóvão Colombo ,Avenida Cristóvão Colombo ,0101000020E6100000DFF2A2C04C1848C05BA09394AAC935C0,-21.7877591,-48.1898423
217,366,Abordagem policial – Perseguição,Crimes de lesão corporal (CP),Lesão corporal indeterminada,SÃO PAULO,Araraquara,Avenida Cristóvão Colombo ,Avenida Cristóvão Colombo ,0101000020E6100000DFF2A2C04C1848C05BA09394AAC935C0,-21.7877591,-48.1898423
218,367,Abordagem policial,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,São José do Rio Preto,,,0101000020E6100000405A52A4B1B048C086B7BD9305D034C0,-20.8125851,-49.3804212
219,367,Abordagem policial,Crimes de abuso de autoridade (Lei 4.898/1965),Ameaçar a integridade física do indivíduo,SÃO PAULO,São José do Rio Preto,,,0101000020E6100000405A52A4B1B048C086B7BD9305D034C0,-20.8125851,-49.3804212
220,368,Operação policial,Crimes de lesão corporal (CP),Lesão corporal leve,SÃO PAULO,Mirandópolis,Penitenciária Nestor Canoa,Penitenciária Nestor Canoa,0101000020E610000032790461978E49C0DEBFC3FEFC2635C0,-21.1522979,-51.11399471968106
221,369,Operação policial,Crimes de abuso de autoridade (Lei 4.898/1965),Impedir ou cercear o livre exercício profissional,SÃO PAULO,Campinas,Terminal Central,Terminal Central,0101000020E6100000321E6C28FE8747C000B9B365AFE836C0,-22.90892635,-47.062443783561676
222,369,Operação policial,Crimes de abuso de autoridade (Lei 4.898/1965),Ameaçar a integridade física do indivíduo,SÃO PAULO,Campinas,Terminal Central,Terminal Central,0101000020E6100000321E6C28FE8747C000B9B365AFE836C0,-22.90892635,-47.062443783561676
223,369,Operação policial,Crimes de lesão corporal (CP),Lesão corporal indeterminada,SÃO PAULO,Campinas,Terminal Central,Terminal Central,0101000020E6100000321E6C28FE8747C000B9B365AFE836C0,-22.90892635,-47.062443783561676
224,370,Abordagem policial,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,Itaquaquecetuba,Centro,Centro,0101000020E6100000AD8CA1F7212D47C05184D4EDEC7937C0,-23.4762715,-46.3525991
225,374,Abordagem policial,Crimes de abuso de autoridade (Lei 4.898/1965),Ameaçar a integridade física do indivíduo,BAHIA,Salvador,,cidade Salvador,0101000020E6100000EB13229CCC291EC0D6D63ED381F04240,37.878961950000004,-7.540819587306923
226,374,Abordagem policial,Crimes contra a honra (CP),Injúria real,BAHIA,Salvador,,cidade Salvador,0101000020E6100000EB13229CCC291EC0D6D63ED381F04240,37.878961950000004,-7.540819587306923
227,374,Abordagem policial,Crimes de abuso de autoridade (Lei 4.898/1965),Encarceramento de forma ilegal ou com abuso de poder,BAHIA,Salvador,,cidade Salvador,0101000020E6100000EB13229CCC291EC0D6D63ED381F04240,37.878961950000004,-7.540819587306923
228,375,Abordagem policial,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,Itaquaquecetuba,Centro,Centro,0101000020E6100000AD8CA1F7212D47C05184D4EDEC7937C0,-23.4762715,-46.3525991
229,377,Abordagem policial – Perseguição,Crimes de lesão corporal (CP),Lesão corporal indeterminada,SÃO PAULO,Campinas,Avenida John Boyd Dunlop,Avenida John Boyd Dunlop,0101000020E6100000188DC6EB0B9447C0765C435F30F036C0,-22.9382381,-47.1566138
230,378,Operação policial,Crimes de abuso de autoridade (Lei 4.898/1965),Ameaçar a integridade física do indivíduo,SÃO PAULO,São Paulo,,,0101000020E610000056EEAAAC125147C0FE04BC71F78C37C0,-23.5506507,-46.6333824
231,378,Operação policial,Crimes contra a vida (CP),Homicídio qualificado,SÃO PAULO,São Paulo,,,0101000020E610000056EEAAAC125147C0FE04BC71F78C37C0,-23.5506507,-46.6333824
232,381,Abordagem policial – Perseguição,Crimes de lesão corporal (CP),Lesão corporal indeterminada,SÃO PAULO,Pirassununga,,,0101000020E6100000A4AF7B86CBB647C0A1E0BDFE7FFF35C0,-21.9980468,-47.4280861
233,382,Abordagem policial,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,São Paulo,,,0101000020E610000056EEAAAC125147C0FE04BC71F78C37C0,-23.5506507,-46.6333824
234,387,Operação policial,Crimes contra a vida (CP),Homicídio qualificado,SÃO PAULO,São Paulo,,,0101000020E610000056EEAAAC125147C0FE04BC71F78C37C0,-23.5506507,-46.6333824
235,388,Atuação do Poder Judiciário,Crimes contra a honra (CP),Injúria simples,SÃO PAULO,São José do Rio Preto,,,0101000020E6100000405A52A4B1B048C086B7BD9305D034C0,-20.8125851,-49.3804212
236,388,Atuação do Poder Judiciário,Crimes de abuso de autoridade (Lei 4.898/1965),Ameaçar a integridade física do indivíduo,SÃO PAULO,São José do Rio Preto,,,0101000020E6100000405A52A4B1B048C086B7BD9305D034C0,-20.8125851,-49.3804212
237,395,Abordagem policial,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,Pariquera-Açu,Centro,Centro,0101000020E610000019219793ABF047C0C44E67DDF5B638C0,-24.7146891,-47.8802361
238,399,Abordagem policial – Perseguição,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,Campinas,,,0101000020E6100000CF4E0647C98747C0D690B8C7D2E736C0,-22.90556,-47.06083
239,400,Abordagem policial,Crimes contra a liberdade sexual (CP),Estupro,SÃO PAULO,São Paulo,,,0101000020E610000056EEAAAC125147C0FE04BC71F78C37C0,-23.5506507,-46.6333824
240,400,Abordagem policial,Crimes contra a administração da justiça (CP),Denunciar crime contra pessoa que sabe ser inocente,SÃO PAULO,São Paulo,,,0101000020E610000056EEAAAC125147C0FE04BC71F78C37C0,-23.5506507,-46.6333824
241,401,Abordagem policial,Crimes de abuso de autoridade (Lei 4.898/1965),Violação de domicilio,SÃO PAULO,Campinas,,,0101000020E6100000CF4E0647C98747C0D690B8C7D2E736C0,-22.90556,-47.06083
242,401,Abordagem policial,Crimes contra a liberdade pessoal (CP),Ameaça,SÃO PAULO,Campinas,,,0101000020E6100000CF4E0647C98747C0D690B8C7D2E736C0,-22.90556,-47.06083
243,402,Abordagem policial – Perseguição,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,Jundiaí,,,0101000020E6100000DEF41DB2377147C04CEC9051543037C0,-23.1887866,-46.8845122
244,403,Abordagem policial,Crimes contra a vida (CP),Morte decorrente de intervenção policial,SÃO PAULO,São Paulo,Alameda Barão de Limeira,Alameda Barão de Limeira - Centro,0101000020E61000007B771A1F1C5347C00A08F7144A8837C0,-23.5323804,-46.6492957
245,404,Operação policial - Repressão a manifestação,Crimes de abuso de autoridade (Lei 4.898/1965),Impedir ou cercear o direito de reunião,SÃO PAULO,São Paulo,"Rua 25 de Março, Centro","Rua 25 de Março, centro",0101000020E61000004D6E6F12DE8D47C0051555BFD2E936C0,-22.913372,-47.1083396
246,404,Operação policial - Repressão a manifestação,Crimes de abuso de autoridade (Lei 4.898/1965),Impedir ou cercear o direito de reunião,SÃO PAULO,São Paulo,"Rua 25 de Março, Centro","Rua 25 de Março, centro",0101000020E61000004D6E6F12DE8D47C0051555BFD2E936C0,-22.913372,-47.1083396
247,404,Operação policial - Repressão a manifestação,Crimes de lesão corporal (CP),Lesão corporal leve,SÃO PAULO,São Paulo,"Rua 25 de Março, Centro","Rua 25 de Março, centro",0101000020E61000004D6E6F12DE8D47C0051555BFD2E936C0,-22.913372,-47.1083396
