,NUM_BO,RUBRICA,ANO,MES,CIDADE,LOGRADOURO,NUMERO_LOGRADOURO,LATITUDE,LONGITUDE
553581,178,Furto (art. 155),2016,5,S.PAULO                                 ,RUA ALZIRO PINHEIRO MAGALHAES           ,375,-23.75609825,-46.68551675
72057,1242,"Drogas sem autorização ou em desacordo (Art.33, caput)",2016,2,S.PAULO                                 ,RUA BASILIO ALVES MORANGO               ,1320,-23.47968371,-46.56730714
442908,1301831,Furto (art. 155),2016,10,S.PAULO                                 ,RUA BENEDITO LEITE DE AVILA             ,0,-23.53961902,-46.42166581
449563,3929,Lesão corporal (art. 129),2016,5,S.PAULO                                 ,RUA DOMINGOS PAIVA                      ,618,-23.54869184,-46.61451049
132360,780869,Furto (art. 155),2016,6,S.PAULO                                 ,RUA PEDRO ANDRADE LEMOS                 ,97,-23.68929628,-46.70117787
772538,418,Roubo (art. 157),2016,2,S.PAULO                                 ,RUA BRIGADEIRO BRITO DELAMARE           ,140,-23.5406361,-46.49492283
76072,538,Furto (art. 155),2016,2,S.PAULO                                 ,AVENIDA DOUTOR FRANCISCO MESQUITA       ,465,-23.58849315,-46.5895532
306406,723,Roubo (art. 157),2016,3,S.PAULO                                 ,RUA GUARAIUVA                           ,50,-23.60311506,-46.68159848
76273,54,"Furto qualificado (art. 155, §4o.)",2016,12,S.PAULO                                 ,RUA SILVA GUIMARAES                     ,638,-23.49386885,-46.59209629
163894,1347,Furto (art. 155),2016,11,S.BERNARDO DO CAMPO                     ,RODOVIA SP 150                          ,26,-23.74849409,-46.53856993
340633,9358,"Furto qualificado (art. 155, §4o.)",2016,10,S.PAULO                                 ,RUA REGINA MESTRE ALONSO                ,167,-23.73300255,-46.69988194
268634,2753,Furto (art. 155),2016,3,S.PAULO                                 ,RUA BAIA FORMOSA                        ,80,-23.49591049,-46.66204187
636396,254541,Furto (art. 155),2016,2,S.PAULO                                 ,AVENIDA NOVE DE JULHO                   ,700,-23.55087168,-46.64487874
619889,445,Lesão corporal culposa na direção de veículo automotor (Art. 303),2016,2,S.PAULO                                 ,AVENIDA DAS JUNTAS PROVISORIAS          ,800,-23.59370319,-46.59774466
327092,1364259,Furto (art. 155),2016,10,S.PAULO                                 ,RUA DOUTOR DIOGO DE FARIA               ,55,-23.59624206,-46.63725793
218197,1256836,Furto (art. 155),2016,10,GUARULHOS                               ,RUA CRISTIANE                           ,17,-23.47706518,-46.3994456
550721,2959,"Furto qualificado (art. 155, §4o.)",2016,7,S.PAULO                                 ,RUA PARAPUA                             ,7,-23.48444621,-46.69137001
768041,50,Lesão corporal (art 129 § 9º),2016,12,S.PAULO                                 ,AVENIDA AUGUSTO ANTUNES                 ,141,-23.50886518,-46.46820685
607784,5967,Furto (art. 155),2016,12,DIADEMA                                 ,RUA SANTA EUNICE                        ,499,-23.67343143,-46.60389361
103838,10761,"Furto qualificado (art. 155, §4o.)",2016,12,S.PAULO                                 ,RUA GUAIAUNA                            ,234,-23.5301729,-46.55095664
762143,3816,Furto (art. 155),2016,6,S.PAULO                                 ,RUA VISCONDE DE TAUNAY                  ,0,-23.526843200000002,-46.64679457
90216,3179,"Furto qualificado (art. 155, §4o.)",2016,6,COTIA                                   ,RUA IRMÃ LEONOR DE SÃO JOSÉ             ,115,-23.60814332,-46.94535307
285111,6876,"Furto qualificado (art. 155, §4o.)",2016,10,S.PAULO                                 ,RUA MAUA                                ,100,-23.53501208,-46.6385864
129125,1453,Roubo (art. 157),2016,5,S.PAULO                                 ,RUA ANGELO LORETTI                      ,41,-23.58989489,-46.76646807
417515,164379,Roubo (art. 157),2016,2,ITAQUAQUECETUBA                         ,RUA ANGATUBA                            ,255,-23.61225184,-46.53014409
363966,369026,Roubo (art. 157),2016,3,S.PAULO                                 ,AVENIDA PAULISTA                        ,1947,-23.55941533,-46.65861313
556621,241,Roubo (art. 157),2016,1,DIADEMA                                 ,RUA IMBAUVA                             ,159,-23.71586241,-46.61272294
534707,359,Furto (art. 155),2016,2,S.PAULO                                 ,RUA SAO MAXIMIANO                       ,241,-23.57365503,-46.56744107
679438,5068,Roubo (art. 157),2016,12,S.PAULO                                 ,RUA JAIR AFONSO INACIO                  ,800,-23.50060296,-46.75356315
141916,5784,"Furto qualificado (art. 155, §4o.)",2016,8,MAUA                                    ,RUA SANTA CECÍLIA                       ,360,-23.6702375,-46.4612532
442717,2981,Lesão corporal culposa na direção de veículo automotor (Art. 303),2016,8,ARUJA                                   ,AVENIDA JOÃO MANOEL                     ,0,-23.39522823,-46.32302097
662462,1247950,Furto (art. 155),2016,9,S.PAULO                                 ,AVENIDA AURO SOARES DE MOURA ANDRADE    ,911,-23.52717095,-46.66384634
527683,307,Lesão corporal (art. 129),2016,3,S.BERNARDO DO CAMPO                     ,RUA GENEBRA                             ,0,-23.65513029,-46.59702972
425488,8413,Furto (art. 155),2016,9,S.PAULO                                 ,AVENIDA NOVE DE JULHO                   ,1100,-23.58031886,-46.68330949
52608,4600,Furto (art. 155),2016,9,TABOAO DA SERRA                         ,RUA ANTÔNIO MACIEL DE OLIVEIRA          ,583,-23.61071269,-46.77944576
81077,4449,"Furto qualificado (art. 155, §4o.)",2016,6,S.PAULO                                 ,AVENIDA DEPUTADO CANTIDIO SAMPAIO       ,1701,-23.46473075,-46.67976442
265465,2700,Furto (art. 155),2016,6,S.PAULO                                 ,RUA CAJAIBA                             ,1191,-23.53512532,-46.69128283
286089,340,Lesão corporal culposa na direção de veículo automotor (Art. 303),2016,3,S.BERNARDO DO CAMPO                     ,RODOVIA SP 150                          ,31,-23.78841441,-46.52076695
665607,1256779,Furto (art. 155),2016,10,S.ANDRE                                 ,AVENIDA PEREIRA BARRETO                 ,600,-23.6698482,-46.53474263
133788,1578080,Furto (art. 155),2016,12,S.PAULO                                 ,RUA AUGUSTA                             ,1513,-23.55715781,-46.65921165
104912,332866,Roubo (art. 157),2016,3,S.PAULO                                 ,RUA MIGUEL RIBAS                        ,186,-23.44706733,-46.74964441
637365,528420,Furto (art. 155),2016,4,S.ANDRE                                 ,AVENIDA PORTUGAL                        ,79,-23.66921226,-46.53876871
519956,2130,Lesão corporal (art 129 § 9º),2016,8,S.PAULO                                 ,RUA ROSARIO SCAMARDI                    ,580,-23.67951386,-46.77881675
368037,634483,Furto (art. 155),2016,5,S.PAULO                                 ,ESTAÇÃO TREM CORINTHIANS - ITAQUERA     ,8295003,-23.54212075,-46.47232936
318611,911585,Roubo (art. 157),2016,7,S.PAULO                                 ,RUA WERNER SIEMENS                      ,110,-23.5102455,-46.70974437
17145,1269,"Furto qualificado (art. 155, §4o.)",2016,2,BARUERI                                 ,RUA CAMPOS SÁLES                        ,0,-23.50877635,-46.89351781
81414,4063,"Furto qualificado (art. 155, §4o.)",2016,7,OSASCO                                  ,RUA CLÁUDIO APARECIDO OLIVEIRA          ,125,-23.54594557,-46.80145605
656856,1100,"Furto qualificado (art. 155, §4o.)",2016,3,S.PAULO                                 ,RUA JOSE DE ALMEIDA                     ,1000,-23.48659233,-46.59158312
667844,1716,Furto (art. 155),2016,3,MAIRIPORA                               ,RUA ARTUR P DA SILVA                    ,183,-23.32291172,-46.59042164
300976,5240,Roubo (art. 157),2016,9,S.PAULO                                 ,RUA ESTANISLAU DE TOLEDO PIZA           ,33,-23.56278356,-46.40324428
255670,1066,Roubo (art. 157),2016,11,SUZANO                                  ,RUA MARIA JOSÉ SAMPAIO                  ,55,-23.65927138,-46.33114557
358980,2960,Furto (art. 155),2016,9,S.PAULO                                 ,AVENIDA DO POETA                        ,100,-23.49090958,-46.56886124
463402,1028,Lesão corporal (art 129 § 9º),2016,1,S.PAULO                                 ,RUA LUIS GIUDICI                        ,202,-23.59960931,-46.47901542
617715,1550,Lesão corporal (art. 129),2016,3,S.PAULO                                 ,RUA PEDRO VICENTE                       ,47,-23.52525041,-46.62858151
525355,882437,Roubo (art. 157),2016,7,GUARULHOS                               ,RUA MARCELO FRANCISCO                   ,55,-23.44741989,-46.50783871
580998,9361,Lesão corporal (art 129 § 9º),2016,9,S.PAULO                                 ,RUA YOSHIMARA MINAMOTO                  ,368,-23.65240665,-46.74469275
369232,3115,Roubo (art. 157),2016,9,S.PAULO                                 ,RUA SAO JOAO BATISTA DOS PASSOS         ,151,-23.48182971,-46.42592297
200612,1484312,Roubo (art. 157),2016,11,S.PAULO                                 ,AVENIDA INTERLAGOS                      ,0,-23.67598599,-46.67919327
419569,1082,"Furto qualificado (art. 155, §4o.)",2016,2,DIADEMA                                 ,AVENIDA ASSEMBLÉIA                      ,450,-23.67966906,-46.63134061
